"House Manwoody","曼伍笛家族","","",""
"Battle of the Shield Islands","偷袭盾牌列岛","","",""
"City Watch of King's Landing","都城守备队","","",""
"Bay of Crabs","螃蟹湾","","",""
"Gared","盖瑞","","",""
"House Dalt","达特家族","","",""
"Ketter","凯特","","",""
"Bearded Priests of Norvos","诺佛斯的大胡子僧侣","","",""
"Knight of the Gate","血门骑士","","",""
"Red Jeyne","红简妮","","",""
"Oakenshield (Wall)","橡木盾","","",""
"Ryam Redwyne","莱安·雷德温","","",""
"Dobber","道柏","","",""
"Mela","美拉","","",""
"Douquor’s Pit","道克斗技场","","",""
"Lark","拉克","","",""
"Gaemon Palehair","“金发”盖蒙","","",""
"Needle","缝衣针","","",""
"White Lady","白色女士号","","",""
"S'vrone","丝芙蓉","","",""
"Luke of Longtown","卢克(长镇)","","",""
"Uller","乌勒","","",""
"Battle of the Fords","红叉河阻击战","","",""
"Walton","沃顿","","",""
"Armen","阿曼","","",""
"Harren Half-Hoare","赫伦","","",""
"Laws & Justice","司法制度","","",""
"Olyvar Frey","奥利法·佛雷","","",""
"Lord of the Skies","天空之主","","",""
"Whiskerfish","鳃须鱼","","",""
"Cerrick","克瑞克","","",""
"The Five Forts","五垒","","",""
"Samwell Stone","山姆·石东","","",""
"Baelor (disambiguation)","贝勒(消歧义)","","",""
"Night Lamp","夜灯台","","",""
"House Lannister","兰尼斯特家族","","",""
"Nurse","保姆","","",""
"Sack of Darry","血洗戴瑞城","","",""
"Lew (Long)","长人卢","","",""
"First Night","初夜权","","",""
"Lancel Lannister (disambiguation)","蓝赛尔·兰尼斯特(消歧义)","","",""
"Satin","纱丁","","",""
"Lhazosh","拉札西","","",""
"Steffon Baratheon","史蒂芬·拜拉席恩","","",""
"Shireen Baratheon","希琳·拜拉席恩","","",""
"Mossador","弥桑德","","",""
"Eddard Karstark","艾德·卡史塔克","","",""
"cave of the three-eyed crow","三眼乌鸦的洞穴","","",""
"Sothoros","索斯罗斯","","",""
"Stannis Baratheon","史坦尼斯·拜拉席恩","","",""
"Creighton Redfort","克雷顿·雷德佛","","",""
"Murmison","墨密森","","",""
"Storm God","风暴神","","",""
"Gerold II Lannister","杰洛·兰尼斯特二世","","",""
"Sphinx","斯芬克斯","","",""
"Gorge","大峡谷","","",""
"House Cordwayner","考德维那家族","","",""
"Kingspyre Tower","焚王塔","","",""
"Miklaz","米卡拉茨","","",""
"Maidenvault","处女居","","",""
"Rolph Spicer","罗佛·斯派瑟","","",""
"Blue Bard","蓝诗人","","",""
"Gawen Westerling","加文·维斯特林","","",""
"Lucas Tyrell","卢卡斯·提利尔","","",""
"Bethany Frey","蓓珊妮·罗斯比","","",""
"Mountain clans","高山氏族部落","","",""
"Melissa Blackwood","蜜利莎·布莱伍德","","",""
"Magister","总督","","",""
"Jon Brax","琼恩·布拉克斯","","",""
"Deepwood Motte","深林堡","","",""
"Ardent Friend","挚友号","","",""
"House Mudd","穆德家族","","",""
"Merling King","人鱼王号","","",""
"Giant's Lance","巨人之枪","","",""
"Bernarr","伯纳(黄)","","",""
"Paezhar zo Myraq","帕扎哈·佐·密拉克","","",""
"Sunfyre","阳炎","","",""
"Tysane Frey","泰珊·佛雷","","",""
"Sherrer","榭尔村","","",""
"Jack","姜杰克","","",""
"House Woodfoot","伍德福特家族","","",""
"Blackfyre","黑火","","",""
"Aenys Blackfyre","伊尼斯·黑火","","",""
"The Hammer and Anvil","铁锤和铁砧","","",""
"Nahsa","那萨","","",""
"Pebbleton","卵石镇","","",""
"Lyman Darry","林曼·戴瑞","","",""
"Blane","班恩","","",""
"Shiera Blackwood","西蕊·布莱伍德","","",""
"Volmark","沃马克城","","",""
"Vaes Jini","维斯·伊尼","","",""
"Pyat Pree","俳雅·菩厉","","",""
"Jyzene","吉欣","","",""
"Jasper Waynwood","贾斯皮·韦伍德","","",""
"Clarence Charlton","克莱伦斯·查尔顿","","",""
"Widow's Wail","寡妇之嚎","","",""
"Shae","雪伊","","",""
"Calor","克罗","","",""
"Nissa Nissa","妮莎·妮莎","","",""
"House Stark","史塔克家族","","",""
"Damon Paege","达蒙·培吉","","",""
"Kasporio","卡斯帕罗","","",""
"Glory (horse)","光辉(马)","","",""
"Years after Aegon's Conquest/Theories","伊耿历详细年份/理论推测","","",""
"Richard Roote","理查德·鲁特","","",""
"Zollo","佐罗","","",""
"Alan of Rosby","罗斯比的阿兰","","",""
"Lew (Left Hand)","卢(左手)","","",""
"Andros Brax","安卓斯·布拉克斯","","",""
"House Parren","帕伦家族","","",""
"Tywin Frey (son of Raymund)","泰温·佛雷(雷蒙德之子)","","",""
"Sevenstreams","七泉镇","","",""
"Chief Gaoler","监狱总管","","",""
"Nella","妮拉","","",""
"Warden of the Prince's Pass","亲王隘口守护","","",""
"Varly","瓦利","","",""
"Vargo Hoat","瓦格·霍特","","",""
"melee at Bitterbridge","苦桥团体比武","","",""
"Jon Hightower","琼恩·海塔尔","","",""
"A Storm of Swords","冰雨的风暴","","",""
"House Flint","菲林特家族(消歧义)","","",""
"Pact","盟誓","","",""
"129AC","129AC","","",""
"House Weaver","维纺家族","","",""
"Robett Glover","罗贝特·葛洛佛","","",""
"House Whent","河安家族","","",""
"Husband","沙玛的丈夫","","",""
"Regent","摄政","","",""
"Doss","朵斯","","",""
"Benjen Stark (son of Bennard)","班扬·史塔克(本纳德之子)","","",""
"House Bolling","波林家族","","",""
"Daeron Targaryen (son of Aerys II)","戴伦·坦格利安(伊里斯二世之子)","","",""
"Naerys Targaryen","奈丽诗·坦格利安","","",""
"Halleck Hoare","哈尔克·霍尔","","",""
"Fletcher Dick","造箭者迪克","","",""
"Alysanne Targaryen","亚莉珊·坦格利安","","",""
"Wex Pyke","威克斯·派克","","",""
"Garrison Fowler","加里森·佛勒","","",""
"Richard Farrow","里查德·法洛","","",""
"Company of the Cat","猫之团","","",""
"House Liddle","里德尔氏族","","",""
"Aegor Rivers","伊葛·河文","","",""
"Blood (horse)","血子","","",""
"House Gower","高尔家族","","",""
"Brazen Beasts","兽面军","","",""
"Myrielle Lannister","蜜莉儿·兰尼斯特","","",""
"Jeyne Fowler","简妮·佛勒","","",""
"Lynesse Hightower","琳妮丝·海塔尔","","",""
"Heart's Home","心宿城","","",""
"Conquest of Dorne (Book)","多恩征服记","","",""
"Sweet Lotus Vale","甜莲花谷","","",""
"Gerald Gower","杰拉德·高尔","","",""
"Boremund Harlaw","博蒙德·哈尔洛","","",""
"The Mountain's men","魔山的手下","","",""
"Broken Arm","断臂角","","",""
"Merman's Court","人鱼宫","","",""
"Edwyn Frey","艾德温·佛雷","","",""
"Shy Maid","含羞少女号","","",""
"Lorent Caswell","洛伦特·卡斯威","","",""
"Annals of the Black Centaur","黑色人马年鉴","","",""
"Lucos","卢科斯","","",""
"House Willum","威廉家族","","",""
"Andrik","阿德利克","","",""
"The Great Spring Sickness","春季大瘟疫","","",""
"Autumn of My Day","我的秋天","","",""
"Flea Bottom","跳蚤窝","","",""
"Tower of Glimmering","闪光塔","","",""
"Pate (Pinchbottom)","“窄屁股”佩特","","",""
"Donnel Flint","唐纳·菲林特","","",""
"TomToo","二汤姆","","",""
"Saffron Straits","藏红花海峡","","",""
"Leonella Lefford","莱昂娅·莱佛德","","",""
"Fair Walda Frey","瓦妲·佛雷(美女)","","",""
"Nightshade","龙葵","","",""
"Drowned Men","淹人","","",""
"Robert Brax (son of Flement)","劳勃·布拉克斯(佛列蒙之子)","","",""
"Blackwood Vale","布莱伍德谷","","",""
"Red Keep","红堡","","",""
"Joffrey Dayne","乔佛里·戴恩","","",""
"Blueburn","蓝布恩河","","",""
"Harry Sawyer","哈利·索耶","","",""
"Daenerys Targaryen (disambiguation)","丹妮莉丝·坦格利安(消歧义)","","",""
"Lucias Vypren","卢科斯·瓦尔平","","",""
"Honeytree","蜂蜜树村","","",""
"House Baratheon of Storm's End","风息堡的拜拉席恩家族","","",""
"Dake (guard)","戴克(弥赛菈)","","",""
"White Widow","白寡妇号","","",""
"Domeric Bolton","多米利克·波顿","","",""
"Vortimer Crane","佛提莫·克连恩","","",""
"House Smallwood","斯莫伍德家族","","",""
"Rhaenys daughter of Rhaegar Targaryen","雷妮丝·坦格利安(雷加之女)","","",""
"Dacey Mormont","黛西·莫尔蒙","","",""
"Argrave the Defiant","“豪胆的”阿尔葛雷弗","","",""
"Falena Stokeworth","菲莱雅·史铎克渥斯","","",""
"Aubrey Ambrose","奥布里·安布罗斯","","",""
"Bastardy","私生子","","",""
"White Hart","白鹿号","","",""
"Hardin's Tower","哈丁塔","","",""
"Nestor Royce","奈斯特·罗伊斯","","",""
"Drowned God","淹神","","",""
"Mantarys","玛塔里斯","","",""
"Qezza","挈萨","","",""
"Bradamar Frey","巴达摩·佛雷","","",""
"Alester Tyrell","艾利斯特·提利尔","","",""
"Lady of the Waves","波涛女士","","",""
"Smiling Knight","微笑骑士","","",""
"House Westford","维斯特福德家族","","",""
"Jon Stark","琼恩·史塔克","","",""
"Temple of the Lord of Light","红神庙","","",""
"Lord Hewett's Town","赫威特伯爵镇","","",""
"Garlan Tyrell","加兰·提利尔","","",""
"Marsh King","沼泽王","","",""
"Sigfryd Harlaw","西格弗里德·哈尔洛","","",""
"Wyl (Castle)","维尔城","","",""
"Cressen","克礼森","","",""
"Gunthor","冈梭尔","","",""
"Grubbs","葛鲁布","","",""
"Queen's Men","后党","","",""
"Tommen Baratheon","托曼·拜拉席恩","","",""
"Ned Woods","奈德·树木","","",""
"Aerys Targaryen","伊里斯·坦格利安(消歧义)","","",""
"Free Cities","自由贸易城邦","","",""
"Paramour","情妇","","",""
"House Estermont/Theories","伊耿历纪事/年龄推断","","",""
"House Caron","卡伦家族","","",""
"Aemon Targaryen (son of Jaehaerys I)","伊蒙·坦格利安(杰赫里斯一世之子)","","",""
"House Bar Emmon","巴尔艾蒙家族","","",""
"Ivy Hall","常青厅","","",""
"Alyce","艾丽斯","","",""
"Warryn Beesbury","瓦伦·毕斯柏里","","",""
"Norbert Vance","诺勃特·凡斯","","",""
"Sigrin","西格林","","",""
"pyramid of Uhlez","乌尔兹金字塔","","",""
"House Hayford","哈佛家族","","",""
"The Dance of the Dragons (song)","血龙狂舞(歌曲)","","",""
"Maege Mormont","梅姬·莫尔蒙","","",""
"House Swann","史文家族","","",""
"Grance Morrigen","格兰斯·莫里根","","",""
"Dickon Tarly","狄肯·塔利","","",""
"House Beesbury","毕斯柏里家族","","",""
"Rob","大罗柏","","",""
"Raven's Teeth","鸦齿卫","","",""
"Winter Wolves","冬狼部队","","",""
"Master of Laws","法务大臣","","",""
"Garin (Prince)","盖林亲王","","",""
"Skane","斯凯恩岛","","",""
"Old Way","古道","","",""
"Lenyl","朗尔","","",""
"Clement Crabb","克莱蒙特·克莱勃","","",""
"House Flint of Flint's Finger","菲林特之指的菲林特家族","","",""
"Mushroom","蘑菇","","",""
"Eerl Harlaw","艾伊尔·哈尔洛","","",""
"Prince of Pentos","潘托斯亲王","","",""
"Alyn Frey","艾林·佛雷","","",""
"Lord Quellon","科伦大王号","","",""
"Salt King","海盐王","","",""
"Sharp Point","尖角","","",""
"Stonedance","石舞城","","",""
"Joss","乔斯","","",""
"Thenn","瑟恩","","",""
"Medrick","梅迪瑞克","","",""
"Daughter of the Dusk","幽暗之女","","",""
"Cassella Vaith","卡赛菈·万斯","","",""
"Morosh","摩洛西","","",""
"Bowen Marsh","波文·马尔锡","","",""
"House Gardener","园丁家族","","",""
"Thomax","托马克斯","","",""
"Banefort","祸垒","","",""
"Lizard Head","蜥蜴头","","",""
"Ghost","白灵","","",""
"Marei","玛丽","","",""
"White Harbor","白港","","",""
"A Game of Thrones: Genesis","权力的游戏(即时战略游戏)","","",""
"Kindly Man","慈祥的人","","",""
"Harlon Botley","哈龙·波特利","","",""
"Maelys Blackfyre","马里斯·黑火","","",""
"Jasper Wylde","贾斯皮·威尔德","","",""
"Second Blackfyre Rebellion","第二次黑火叛乱","","",""
"Lyn Corbray","林恩·科布瑞","","",""
"Jhaqo","贾科","","",""
"Perfumed seneschal","魁蜥/芬芳的总管","","",""
"House Merlyn","梅林家族","","",""
"Mina Tyrell","米娜·提利尔","","",""
"Siege of Storm's End (299)","风息堡攻防战","","",""
"Jax","贾克斯","","",""
"Kyra Frey","凯拉·佛雷","","",""
"Battle of Oxcross","牛津之战","","",""
"Robar Royce","罗拔·罗伊斯","","",""
"Carellen Smallwood","凯瑞琳·斯莫伍德","","",""
"Widow of the Waterfront","水边寡妇","","",""
"Will","威尔","","",""
"Stone Road","石之路","","",""
"Dwarf elephant","矮象","","",""
"Zarabelo","扎巴罗","","",""
"Alyx Frey","艾茜·佛雷","","",""
"Gyleno Dothare","吉勒诺·多塞尔","","",""
"Glass candle","玻璃蜡烛","","",""
"Tristifer IV Mudd","特里斯蒂芬·穆德四世","","",""
"Jayne Bracken","杰恩·布雷肯","","",""
"Coldmoat","冷壕堡","","",""
"Kayce","凯切镇","","",""
"Bokkoko","巴卡约","","",""
"Many-Faced God","千面之神","","",""
"Symond Botley","赛蒙·波特利","","",""
"Great Barrow","大荒冢","","",""
"Parmen Crane","帕门·克连恩","","",""
"Lord","领主","","",""
"Quentyn Qorgyle","昆廷·科格尔","","",""
"Utt","厄特","","",""
"Conwy","康威","","",""
"Erryk(Guard)","艾里克","","",""
"Lann the Clever","“机灵的”兰恩","","",""
"Nymeria (direwolf)","娜梅莉亚(冰原狼)","","",""
"Harlan Hoare","哈兰·霍尔","","",""
"Goldengrove","金树城","","",""
"Ironman's Bay","铁民湾","","",""
"Tansy (disambiguation)","艾菊","","",""
"Haunted Forest","鬼影森林","","",""
"Deep Lake","深湖居","","",""
"Soren","梭伦","","",""
"Arrec Durrandon","亚列克·杜兰登","","",""
"Mors Umber","莫尔斯·安柏","","",""
"Quellon Botley","科伦·波特利","","",""
"Jade Compendium","玉海概述","","",""
"Forktop","叉梢","","",""
"Robin Arryn","罗宾·艾林一世","","",""
"Trianna","特兰拉娜","","",""
"Starfish Harbor","海星港","","",""
"Brus Buckler","布鲁斯·布克勒","","",""
"House Ladybright","雷迪布莱特家族","","",""
"Seastone Chair","海石之位","","",""
"Snakewood","蛇木城","","",""
"Margot Lannister","玛歌·兰尼斯特","","",""
"Tim Tangletongue","结巴提姆","","",""
"Marla Sunderland","玛拉·桑德兰","","",""
"Battle of Ashford","岑树滩之战","","",""
"Great Wyk","大威克岛","","",""
"Lucas Corbray","卢卡斯·科布瑞","","",""
"Spottswood","斑木林","","",""
"Gulian Swann","古利安·史文","","",""
"Ellaria Sand","艾拉莉亚·沙德","","",""
"House Strickland","斯崔克兰家族","","",""
"Erryk Cargyll","伊利克·卡盖尔","","",""
"Harghaz","哈格兹","","",""
"House Jast","贾斯特家族","","",""
"Arrax","阿拉克斯","","",""
"Greenapple","绿苹果江","","",""
"Dafyn Vance","迪冯·凡斯","","",""
"King's Gate","国王门","","",""
"Sarella Sand","萨蕾拉·沙德","","",""
"Desmond Grell","戴斯蒙·格瑞尔","","",""
"Ellyn Reyne","艾莲·雷耶斯","","",""
"Cellador","赛勒达","","",""
"Osmund Strong","奥斯蒙·斯壮","","",""
"Dosh khaleen","多希卡林","","",""
"Rickard Karstark","瑞卡德·卡史塔克","","",""
"Wallen","华伦","","",""
"Jon Redfort","琼恩·雷德佛","","",""
"Lord Commander Qorgyle","科格尔总司令","","",""
"Berena Stark","贝拉·史塔克","","",""
"House Norridge","诺瑞吉家族","","",""
"Icemark","冰痕城","","",""
"Three Sisters","三姐妹群岛","","",""
"Daemon Velaryon","戴蒙·瓦列利安","","",""
"Storm King","风暴国王","","",""
"Mother's Men","龙之母仆从","","",""
"Dance over Harrenhal","神眼湖狂舞","","",""
"Gwayne Hightower","加尔温·海塔尔","","",""
"Will the Stork","威尔(鹳鸟)","","",""
"Khalasar","卡拉萨","","",""
"House Ambrose","安布罗斯家族","","",""
"Shagga","夏嘎","","",""
"Elaena Targaryen","依兰娜·坦格利安(伊耿三世之女)","","",""
"Greyskin","灰皮","","",""
"Sandor Clegane","桑铎·克里冈","","",""
"Roger Ryswell","罗尔杰·莱斯威尔","","",""
"Valyrian (ship)","瓦雷利亚人号","","",""
"Valar Morghulis","Valar Morghulis","","",""
"Giant's Stair","巨人梯","","",""
"Stormcloud","暴云","","",""
"Balman Byrch","巴尔曼·拜奇","","",""
"Tya Lannister","蒂亚·兰尼斯特","","",""
"Alekyne Florent","阿勒肯·佛罗伦","","",""
"Pit of Ghrazz","格剌兹竞技场","","",""
"Harrentown","赫伦镇","","",""
"Bedwyck","贝德威克","","",""
"House Harte","哈特家族","","",""
"Cromm","科洛姆","","",""
"Walda Rivers","瓦妲·河文(瓦德·河文之女)","","",""
"Viserys Targaryen (son of Aenys I)","韦赛里斯·坦格利安(伊尼斯一世之子)","","",""
"Dragon dreams","龙梦","","",""
"Bloody Gate","血门","","",""
"Hop-Robin","跳脚罗宾","","",""
"Helicent Uffering","梅森特·乌法林","","",""
"Skirling Pass","风声峡","","",""
"Dwarf's Penny","侏儒的铜板","","",""
"Bryce Caron","布莱斯·卡伦","","",""
"Purple eyes","紫眸","","",""
"Kennos of Kayce","凯切镇的肯洛斯","","",""
"Lyanna Mormont","莱安娜·莫尔蒙","","",""
"Third Blackfyre Rebellion","第三次黑火叛乱","","",""
"Rhogoro","罗戈洛","","",""
"House Tarbeck","塔贝克家族","","",""
"Jhala","扎勒岛","","",""
"House Wyl","维尔家族","","",""
"House Conklyn","科肯英家族","","",""
"Flint Cliffs","菲林特悬崖","","",""
"A Song of Ice and Fire","冰与火之歌","","",""
"Vaes Shirosi","维斯·希罗丝","","",""
"A Knight of the Seven Kingdoms","七王国的骑士","","",""
"Qhored I Hoare","科瑞·霍尔一世","","",""
"River Arrow","河箭号","","",""
"Lord Florent","佛罗伦伯爵(戴伦二世)","","",""
"House Seaworth","席渥斯家族","","",""
"Jeyne Swann","简妮·史文","","",""
"House Vance of Wayfarer's Rest","旅息城的凡斯家族","","",""
"Kem","凯姆(跳蚤窝)","","",""
"Gage","盖吉","","",""
"Rus Barleycorn","鲁斯·巴勒颗","","",""
"Gwayne III Gardener","加尔温·园丁三世","","",""
"Iron Holt","铁林城","","",""
"Vaellyn","维林","","",""
"Waltyr Frey","瓦提尔·佛雷","","",""
"Greyguard","灰卫堡","","",""
"Dragonglass","龙晶","","",""
"Armond Caswell","阿尔蒙·卡斯威","","",""
"Tarle","塔勒","","",""
"Jarmen Buckwell","贾曼·布克威尔","","",""
"Heartsbane","碎心","","",""
"House Redwyne","雷德温家族","","",""
"Pate (Standfast)","佩特(坚定堡)","","",""
"Ghost (constellation)","鬼魂座","","",""
"Rain House","雨屋城","","",""
"Henly (House Ashford)","亨利(岑树滩)","","",""
"Basilisk Isles","蛇蜥群岛","","",""
"Keeper of the Long List","名册保管员","","",""
"Ferrego Antaryon","费雷哥·安塔里昂","","",""
"Maezon zo Rhaezn","马亚逊·佐·拉赫赞","","",""
"old shield rhyme","盾牌四字歌","","",""
"Senelle","塞蕾娜","","",""
"Perwyn Frey","派温·佛雷","","",""
"Theon Stark","席恩·史塔克","","",""
"Joy Hill","杰依·希山","","",""
"Jeffory Mallister","乔佛里·梅利斯特","","",""
"Alysanne of Tarth","塔斯的亚莉珊","","",""
"Rickard Tyrell","瑞卡德·提利尔","","",""
"Khrazz","克拉兹","","",""
"Maron Botley","马伦·波特利","","",""
"House Blackwood","布莱伍德家族","","",""
"House Lychester","莱彻斯特家族","","",""
"Arnell","亚耐尔","","",""
"Maiden's Men","慕女团","","",""
"Tyland Lannister","泰兰·兰尼斯特","","",""
"Bethany (Blushing Bethany)","“红脸”蓓珊妮","","",""
"Leviathan Sound","海兽湾","","",""
"Jaime Frey","詹姆·佛雷","","",""
"Dragonmont","龙山","","",""
"Jonnel Stark","琼尼尔·史塔克","","",""
"Grey Gallows","灰绞架岛","","",""
"Alyn Stackspear","埃林·斯脱克皮","","",""
"Nightflyer","夜行者号","","",""
"Across the Narrow Sea","狭海对岸","","",""
"Hero","英雄","","",""
"Walder Brax","瓦德·布拉克斯","","",""
"Alyce Dunn","艾丽斯·杜恩","","",""
"Mychel Redfort","米歇尔·雷德佛","","",""
"Maester (mule)","学士(骡子)","","",""
"King of the Stepstones and the Narrow Sea","狭海与石阶列岛之王","","",""
"Jaqqa rhan","贾卡朗","","",""
"Vulture King (I)","秃鹰王(伊尼斯一世)","","",""
"Adrack Humble","阿大克·汉博利","","",""
"Rhaenys's hill","雷妮丝丘陵","","",""
"Spotted Pate","“雀斑”佩特","","",""
"Leaf","叶子","","",""
"Goodwin","古德温","","",""
"Beastiary","动物","","",""
"Sweetsleep","甜睡花","","",""
"Daeron Velaryon","戴伦·瓦列利安","","",""
"Oathkeeper","守誓剑","","",""
"Theodan Wells","西奥多·威尔斯","","",""
"House of Yherizan","雅赫赞家族","","",""
"House Moore","穆尔家族","","",""
"Brandon Stark (the daughterless)","布兰登·史塔克(失女者)","","",""
"Ronnel Arryn","罗纳·艾林(贾斯皮之子)","","",""
"Ronald Connington","罗纳德·克林顿","","",""
"Mermaids","美人鱼","","",""
"Brightwater Keep","亮水城","","",""
"Manticore Isles","蝎尾兽群岛","","",""
"Lightbringer","光明使者","","",""
"Shadow assassin","影子杀手","","",""
"Sallydance","激舞村","","",""
"Shade","鬼影号","","",""
"Battle of the Redgrass Field","红草原之役","","",""
"Cersei Frey","瑟曦·佛雷","","",""
"Merling King (god)","人鱼王","","",""
"Harlon Greyjoy","哈龙·葛雷乔伊","","",""
"Garth XII Gardener","加尔斯·园丁十二世","","",""
"House Condon","孔顿家族","","",""
"Big Boil","大疖子","","",""
"Aggo","阿戈","","",""
"Jyanna Frey","乔安娜·佛雷","","",""
"Larra Rogare","拉腊·罗佳尔","","",""
"Flement Brax","佛列蒙·布拉克斯","","",""
"Alester Sarwyck","艾利斯特·萨威克","","",""
"Lady’s Lace","仕女蕾丝","","",""
"Andals","安达尔人","","",""
"Urek Ironmaker","乌克·艾枚克","","",""
"Varys","瓦里斯","","",""
"House Vance of Atranta","亚兰城的凡斯家族","","",""
"Dawn Age","黎明纪元","","",""
"Battle of Deepwood Motte","偷袭深林堡","","",""
"Sunblaze","日耀号","","",""
"Rhae Targaryen","雷迩·坦格利安","","",""
"Duskendale","暮谷镇","","",""
"Jon Waters","琼恩·维水","","",""
"Good Masters","善主","","",""
"The Twins","孪河城","","",""
"Camarron","卡莫罗恩","","",""
"Meizo Mahr","梅佐·马赫","","",""
"High Septon (Tyrion's)","总主教(提利昂的)","","",""
"Bastard's girls","拉姆斯·波顿的猎犬","","",""
"Meereen","弥林","","",""
"Bennis","本尼斯","","",""
"Pytho Malanon","派索·玛拉恩","","",""
"Moqorro","马奇罗","","",""
"Osmund Tyrell","奥斯蒙·提利尔","","",""
"Samwell Tarly","山姆威尔·塔利","","",""
"Base (Great Pyramid)","底层(大金字塔)","","",""
"Dragonkin Being a History of House Targaryen from Exile to Apotheosis with a Consideration of the Life and Death of Dragons","龙王们：坦格利安家族从流浪到神化的历程兼论巨龙之生死","","",""
"Gerrold","黑人杰罗德","","",""
"Landing of the Golden Company","黄金团登陆","","",""
"Lyanna Stark","莱安娜·史塔克","","",""
"Sandor Frey","桑铎·佛雷","","",""
"Arakh","亚拉克弯刀","","",""
"White Book","白骑士之书","","",""
"Geoff","高夫","","",""
"Basilisks","蛇蜥","","",""
"House of Merreq","玛瑞克家族","","",""
"Lambert Turnberry","蓝柏特·特拔瑞","","",""
"Braavosian Coastland","布拉佛斯海岸","","",""
"Gormond Goodbrother","葛蒙德·古柏勒","","",""
"The Queen Took Off Her Sandal the King Took Off His Crown","王后脱鞋国王弃冠","","",""
"Ben Bushy","本恩·布什","","",""
"Maiden Mother and Crone","少女、圣母与老妪","","",""
"House Martell","马泰尔家族","","",""
"Proudwing","傲翼","","",""
"Storm Dancer","暴风舞者号","","",""
"Leng Yi","雷·夷","","",""
"House Royce","罗伊斯家族","","",""
"Tim Stone","提姆·石东","","",""
"House Rowan","罗宛家族","","",""
"Moon-Pale Maiden (god)","淡月处女","","",""
"Hayhead","稻草头","","",""
"House Spicer","斯派瑟家族","","",""
"Battle of Wendwater Bridge","文德河桥之役","","",""
"A Dance with Dragons","魔龙的狂舞","","",""
"Unsullied","无垢者","","",""
"Martyn Cassel","马丁·凯索","","",""
"Palanquin","轿","","",""
"Cedric Payne","塞德里克·派恩","","",""
"Ghost Hill","魂丘","","",""
"Theodore Tyrell","特奥多·提利尔","","",""
"Gella","戈拉","","",""
"Rhoyne","洛恩河","","",""
"Magister Manolo","马诺罗总督号","","",""
"Creylen","克雷伦","","",""
"Jon Pox","“麻子”琼恩","","",""
"Wendel Manderly","文德尔·曼德勒","","",""
"House of Quazzar","库尔扎家族","","",""
"Pennytree","铜分树村","","",""
"Tiger cloaks","虎袍军","","",""
"Garth","加尔斯(旧镇)","","",""
"High Heart","高尚之心","","",""
"Prince Aemon","伊蒙王子号","","",""
"Sow (constellation)","母猪座","","",""
"Vyman","韦曼","","",""
"Lymond Pease","莱蒙·比兹","","",""
"Porther","波瑟","","",""
"Elwood Harte","埃伍德·哈特","","",""
"Artos Stark","阿托斯·史塔克","","",""
"High Hermitage","高隐城","","",""
"Stonecrab Cay","石蟹礁","","",""
"Stony Shore","磐石海岸","","",""
"Oswell Kettleblack","奥斯威尔·凯特布莱克","","",""
"House Hollard","霍拉德家族","","",""
"Tal Toraq","塔尔·塔科","","",""
"Greenblood","绿血河","","",""
"Elbert Arryn","艾伯特·艾林","","",""
"House Hewett","赫威特家族","","",""
"pyramid of Hazkar","哈扎卡金字塔","","",""
"Second Siege of Meereen","弥林攻防战","","",""
"Rhea Royce","雷娅·罗伊斯","","",""
"Qyburn","科本","","",""
"Krazaaj Zasqa","科拉札吉·扎斯克","","",""
"Pentos","潘托斯","","",""
"King of the Reach","河湾王","","",""
"Mermaid's Palace","人鱼殿","","",""
"Greenstone","绿石堡","","",""
"High Steward of Highgarden","高庭大总管","","",""
"Alyse Ladybright","阿里斯·雷迪布莱特","","",""
"Children of the Forest","森林之子","","",""
"House Lonmouth","隆莫斯家族","","",""
"Durran","杜伦","","",""
"Summer Islands","盛夏群岛","","",""
"Gorosh","戈罗斯","","",""
"True History","真史","","",""
"The Bones","骨头列岛","","",""
"Sharna","沙玛","","",""
"Rook's Rest","鸦栖堡","","",""
"Guildhall of the Alchemists","炼金术士的公会大厅","","",""
"Nute","纽特","","",""
"Brendel Byrne","本内德·贝雷恩","","",""
"Elwood","埃伍德","","",""
"Hildy","希尔蒂","","",""
"Battle of Tumbleton","第一次腾石镇之战","","",""
"Noom","努姆","","",""
"Ardrian Celtigar","阿德里安·赛提加","","",""
"Aerys II Targaryen","伊里斯·坦格利安二世","","",""
"Reach","河湾地","","",""
"House Borrell","波内尔家族","","",""
"Triston Massey","崔斯顿·马赛","","",""
"Morghul","莫古尔","","",""
"The Roadside Rose","路边的玫瑰","","",""
"Bronzegate","铜门城","","",""
"Norren (House Mooton)","诺伦(女泉城学士)","","",""
"Thistle","大蓟","","",""
"Tourney at Harrenhal","赫伦堡比武大会","","",""
"Jon Mooton","琼恩·慕顿","","",""
"Amarei Crakehall","阿梅丽·克雷赫","","",""
"Grey King","灰海王","","",""
"Inn of the Green Eel","绿鳗客栈","","",""
"Maegelle Frey","玛格娜·佛雷","","",""
"Beony Beesbury","布琳·毕斯柏里","","",""
"Battle of the Fist of the First Men","先民拳峰之战","","",""
"Iron Lances","铁枪","","",""
"Pynto's","番拓旅店","","",""
"Watkyn","威金","","",""
"Pycelle","派席尔","","",""
"The Hedge Knight","雇佣骑士","","",""
"Moon tea","月茶","","",""
"Battle for the Dawn","黎明之战","","",""
"Starved Man","饿鬼","","",""
"Edwyn Stark","艾德温·史塔克","","",""
"Scourge","祸江","","",""
